Prefix,Status,Children,VRF,Utilization,Tenant,Site,VLAN,Role,Description,ID,Prefix (Flat),VLAN Group,Pool,Marked Utilized,Tags,Created,Last updated,Depth
10.0.0.0/30,Active,0,NPFLAN (npflan),50.0%,,npflan,AVATAR-INSIDE (301),Firewall Network,AVATAR Inside,967,10.0.0.0/30,npflan-core1,False,False,,2021-07-05 00:00,2021-07-05 21:52,0
10.0.0.4/30,Active,0,NPFLAN (npflan),50.0%,,npflan,LEVIATHAN-INSIDE (302),Firewall Network,LEVIATHAN Inside,968,10.0.0.4/30,npflan-core1,False,False,,2021-07-05 00:00,2021-07-05 21:52,0
10.0.0.8/30,Active,0,NPFLAN (npflan),50.0%,,npflan,RAGNAROK-INSIDE (301),Firewall Network,RAGNAROK Inside,969,10.0.0.8/30,npflan-core2,False,False,,2021-07-05 00:00,2021-07-05 21:51,0
10.0.0.12/30,Active,0,NPFLAN (npflan),50.0%,,npflan,EREBUS-INSIDE (302),Firewall Network,EREBUS Inside,970,10.0.0.12/30,npflan-core2,False,False,,2021-07-05 00:00,2021-07-05 21:52,0
10.1.0.0/16,Container,11,NPFLAN (npflan),4.296875%,,npflan,,Distribution Network,D1,167,10.1.0.0/16,,False,False,,2016-09-03 00:00,2021-06-22 07:15,0
10.1.11.0/24,Active,0,NPFLAN (npflan),0.39370078740157477%,,npflan,Access 11 (11),Access,D1 - Vlan11,169,10.1.11.0/24,npflan-access,False,False,,2016-09-03 00:00,2021-06-22 21:50,1
10.1.12.0/24,Active,0,NPFLAN (npflan),0.39370078740157477%,,npflan,Access 12 (12),Access,D1 - Vlan12,171,10.1.12.0/24,npflan-access,False,False,,2016-09-03 00:00,2021-06-22 21:51,1
10.1.13.0/24,Active,0,NPFLAN (npflan),0.39370078740157477%,,npflan,Access 13 (13),Access,D1 - Vlan13,172,10.1.13.0/24,npflan-access,False,False,,2016-09-03 00:00,2021-06-22 21:51,1
10.1.14.0/24,Active,0,NPFLAN (npflan),0.39370078740157477%,,npflan,Access 14 (14),Access,D1 - Vlan14,173,10.1.14.0/24,npflan-access,False,False,,2016-09-03 00:00,2021-06-22 21:51,1
10.1.15.0/24,Active,0,NPFLAN (npflan),0.39370078740157477%,,npflan,Access 15 (15),Access,D1 - Vlan15,174,10.1.15.0/24,npflan-access,False,False,,2016-09-03 00:00,2021-06-22 21:51,1
10.1.16.0/24,Active,0,NPFLAN (npflan),0.39370078740157477%,,npflan,Access 16 (16),Access,D1 - Vlan16,175,10.1.16.0/24,npflan-access,False,False,,2016-09-03 00:00,2021-06-22 21:52,1
10.1.17.0/24,Active,0,NPFLAN (npflan),0.39370078740157477%,,npflan,Access 17 (17),Access,D1 - Vlan17,176,10.1.17.0/24,npflan-access,False,False,,2016-09-03 00:00,2021-06-22 21:52,1
10.1.18.0/24,Active,0,NPFLAN (npflan),0.39370078740157477%,,npflan,Access 18 (18),Access,D1 - Vlan18,177,10.1.18.0/24,npflan-access,False,False,,2016-09-03 00:00,2021-06-22 21:52,1
10.1.240.0/24,Active,0,NPFLAN (npflan),0.39370078740157477%,,npflan,Environment (240),Access,D1 - Environment,980,10.1.240.0/24,npflan-access,False,False,,2022-08-09 17:33,2022-08-09 17:33,1
10.1.248.0/24,Active,0,NPFLAN (npflan),0.39370078740157477%,,npflan,AP Management (248),Wireless,D1 - Wireless Management,589,10.1.248.0/24,npflan-access,False,False,,2017-10-10 00:00,2022-08-08 19:00,1
10.1.250.0/24,Active,0,NPFLAN (npflan),0.39370078740157477%,,npflan,CCTV (250),CCTV,D1 - CCTV,496,10.1.250.0/24,npflan-access,False,False,,2016-10-01 00:00,2022-08-08 19:00,1
10.2.0.0/16,Container,11,NPFLAN (npflan),4.296875%,,npflan,,Distribution Network,D2,182,10.2.0.0/16,,False,False,,2016-09-03 00:00,2021-06-22 07:15,0
10.2.11.0/24,Active,0,NPFLAN (npflan),0.39370078740157477%,,npflan,Access 11 (11),Access,D2 - Vlan11,183,10.2.11.0/24,npflan-access,False,False,,2016-09-03 00:00,2021-06-22 22:06,1
10.2.12.0/24,Active,0,NPFLAN (npflan),0.39370078740157477%,,npflan,Access 12 (12),Access,D2 - Vlan12,184,10.2.12.0/24,npflan-access,False,False,,2016-09-03 00:00,2021-06-22 22:07,1
10.2.13.0/24,Active,0,NPFLAN (npflan),0.39370078740157477%,,npflan,Access 13 (13),Access,D2 - Vlan13,185,10.2.13.0/24,npflan-access,False,False,,2016-09-03 00:00,2021-06-22 22:11,1
10.2.14.0/24,Active,0,NPFLAN (npflan),0.39370078740157477%,,npflan,Access 14 (14),Access,D2 - Vlan14,186,10.2.14.0/24,npflan-access,False,False,,2016-09-03 00:00,2021-06-22 22:13,1
10.2.15.0/24,Active,0,NPFLAN (npflan),0.39370078740157477%,,npflan,Access 15 (15),Access,D2 - Vlan15,187,10.2.15.0/24,npflan-access,False,False,,2016-09-03 00:00,2021-06-22 22:14,1
10.2.16.0/24,Active,0,NPFLAN (npflan),0.39370078740157477%,,npflan,Access 16 (16),Access,D2 - Vlan16,188,10.2.16.0/24,npflan-access,False,False,,2016-09-03 00:00,2021-06-22 22:15,1
10.2.17.0/24,Active,0,NPFLAN (npflan),0.39370078740157477%,,npflan,Access 17 (17),Access,D2 - Vlan17,189,10.2.17.0/24,npflan-access,False,False,,2016-09-03 00:00,2021-06-22 22:20,1
10.2.18.0/24,Active,0,NPFLAN (npflan),0.39370078740157477%,,npflan,Access 18 (18),Access,D2 - Vlan18,190,10.2.18.0/24,npflan-access,False,False,,2016-09-03 00:00,2021-06-22 22:21,1
